frame_id,vehicle_id,lane,world_y,speed,action
30,8,3,840,330,maintain
60,8,3,1280,330,maintain
90,8,3,1720,330,maintain
120,8,3,2160,330,maintain
150,8,3,2600,330,maintain
180,8,3,3040,330,maintain
210,8,3,3480,330,maintain
240,8,3,3920,330,maintain
270,8,3,4360,330,maintain
300,8,3,4800,330,maintain
330,8,3,5240,330,maintain
360,8,3,5680,330,maintain
390,8,3,6120,330,maintain
420,8,3,6560,330,maintain
450,8,3,7000,330,maintain
480,8,3,7440,330,maintain
510,8,3,7880,330,maintain
540,8,3,8320,330,maintain
570,8,3,8760,330,maintain
600,8,3,9200,330,maintain
0,9,1,1500,285,maintain
30,9,1,1950,285,maintain
60,9,1,2400,285,maintain
90,9,1,2850,285,maintain
120,9,1,3300,285,maintain
150,9,1,3750,285,maintain
180,9,1,4200,285,maintain
210,9,1,4650,285,maintain
240,9,1,5100,285,maintain
270,9,1,5550,285,maintain
300,9,1,6000,285,maintain
330,9,1,6450,285,maintain
360,9,1,6900,285,maintain
390,9,1,7350,285,maintain
420,9,1,7800,285,maintain
450,9,1,8250,285,maintain
480,9,1,8700,285,maintain
510,9,1,9150,285,maintain
540,9,1,9600,285,maintain
570,9,1,10050,285,maintain
600,9,1,10500,285,maintain
0,10,0,1000,295,maintain
30,10,0,1440,295,maintain
60,10,0,1880,295,maintain
90,10,0,2320,295,maintain
120,10,0,2760,295,maintain
150,10,0,3200,295,maintain
180,10,0,3640,295,maintain
210,10,0,4080,295,maintain
240,10,0,4520,295,maintain
270,10,0,4960,295,maintain
300,10,0,5400,295,maintain
330,10,0,5840,295,maintain
360,10,0,6280,295,maintain
390,10,0,6720,295,maintain
420,10,0,7160,295,maintain
450,10,0,7600,295,maintain
480,10,0,8040,295,maintain
510,10,0,8480,295,maintain
540,10,0,8920,295,maintain
570,10,0,9360,295,maintain
600,10,0,9800,295,maintain
0,11,2,-200,275,maintain
30,11,2,175,275,maintain
60,11,2,550,275,maintain
90,11,2,925,275,maintain
120,11,2,1300,275,maintain
150,11,2,1675,275,maintain
180,11,2,2050,275,maintain
210,11,2,2425,275,maintain
240,11,2,2800,275,maintain
270,11,2,3175,275,maintain
300,11,2,3550,275,maintain
330,11,2,3925,275,maintain
360,11,2,4300,275,maintain
390,11,2,4675,275,maintain
420,11,2,5050,275,maintain
450,11,2,5425,275,maintain
480,11,2,5800,275,maintain
510,11,2,6175,275,maintain
540,11,2,6550,275,maintain
570,11,2,6925,275,maintain
600,11,2,7300,275,maintain
0,12,3,-800,345,maintain
30,12,3,-320,345,maintain
60,12,3,160,345,maintain
90,12,3,640,345,maintain
120,12,3,1120,345,maintain
150,12,3,1600,345,maintain
180,12,3,2080,345,maintain
210,12,3,2560,345,maintain
240,12,3,3040,345,maintain
270,12,3,3520,345,maintain
300,12,3,4000,345,maintain
330,12,3,4480,345,maintain
360,12,3,4960,345,maintain
390,12,3,5440,345,maintain
420,12,3,5920,345,maintain
450,12,3,6400,345,maintain
480,12,3,6880,345,maintain
510,12,3,7360,345,maintain
540,12,3,7840,345,maintain
570,12,3,8320,345,maintain
600,12,3,8800,345,maintain
0,13,1,2800,305,maintain
30,13,1,3255,305,maintain
60,13,1,3710,305,maintain
90,13,1,4165,305,maintain
120,13,1,4620,305,maintain
150,13,1,5075,305,maintain
180,13,1,5530,305,maintain
210,13,1,5985,305,maintain
240,13,1,6440,305,maintain
270,13,1,6895,305,maintain
300,13,1,7350,305,maintain
330,13,1,7805,305,maintain
360,13,1,8260,305,maintain
390,13,1,8715,305,maintain
420,13,1,9170,305,maintain
450,13,1,9625,305,maintain
480,13,1,10080,305,maintain
510,13,1,10535,305,maintain
540,13,1,10990,305,maintain
570,13,1,11445,305,maintain
600,13,1,11900,305,maintain
0,14,0,2200,315,maintain
30,14,0,2670,315,maintain
60,14,0,3140,315,maintain
90,14,0,3610,315,maintain
120,14,0,4080,315,maintain
150,14,0,4550,315,maintain
180,14,0,5020,315,maintain
210,14,0,5490,315,maintain
240,14,0,5960,315,maintain
270,14,0,6430,315,maintain
300,14,0,6900,315,maintain
330,14,0,7370,315,maintain
360,14,0,7840,315,maintain
390,14,0,8310,315,maintain
420,14,0,8780,315,maintain
450,14,0,9250,315,maintain
480,14,0,9720,315,maintain
510,14,0,10190,315,maintain
540,14,0,10660,315,maintain
570,14,0,11130,315,maintain
600,14,0,11600,315,maintain
0,15,2,3200,270,maintain
30,15,2,3570,270,maintain
60,15,2,3940,270,maintain
90,15,2,4310,270,maintain
120,15,2,4680,270,maintain
150,15,2,5050,270,maintain
180,15,2,5420,270,maintain
210,15,2,5790,270,maintain
240,15,2,6160,270,maintain
270,15,2,6530,270,maintain
300,15,2,6900,270,maintain
330,15,2,7270,270,maintain
360,15,2,7640,270,maintain
390,15,2,8010,270,maintain
420,15,2,8380,270,maintain
450,15,2,8750,270,maintain
480,15,2,9120,270,maintain
510,15,2,9490,270,maintain
540,15,2,9860,270,maintain
570,15,2,10230,270,maintain
600,15,2,10600,270,maintain
0,16,3,1600,355,maintain
30,16,3,2125,355,maintain
60,16,3,2650,355,maintain
90,16,3,3175,355,maintain
120,16,3,3700,355,maintain
150,16,3,4225,355,maintain
180,16,3,4750,355,maintain
210,16,3,5275,355,maintain
240,16,3,5800,355,maintain
270,16,3,6325,355,maintain
300,16,3,6850,355,maintain
330,16,3,7375,355,maintain
360,16,3,7900,355,maintain
390,16,3,8425,355,maintain
420,16,3,8950,355,maintain
450,16,3,9475,355,maintain
480,16,3,10000,355,maintain
510,16,3,10525,355,maintain
540,16,3,11050,355,maintain
570,16,3,11575,355,maintain
600,16,3,12100,355,maintain
0,17,0,3500,290,maintain
30,17,0,3935,290,maintain
60,17,0,4370,290,maintain
90,17,0,4805,290,maintain
120,17,0,5240,290,maintain
150,17,0,5675,290,maintain
180,17,0,6110,290,maintain
210,17,0,6545,290,maintain
240,17,0,6980,290,maintain
270,17,0,7415,290,maintain
300,17,0,7850,290,maintain
330,17,0,8285,290,maintain
360,17,0,8720,290,maintain
390,17,0,9155,290,maintain
420,17,0,9590,290,maintain
450,17,0,10025,290,maintain
480,17,0,10460,290,maintain
510,17,0,10895,290,maintain
540,17,0,11330,290,maintain
570,17,0,11765,290,maintain
600,17,0,12200,290,maintain
0,18,1,3800,298,maintain
30,18,1,4245,298,maintain
60,18,1,4690,298,maintain
90,18,1,5135,298,maintain
120,18,1,5580,298,maintain
150,18,1,6025,298,maintain
180,18,1,6470,298,maintain
210,18,1,6915,298,maintain
240,18,1,7360,298,maintain
270,18,1,7805,298,maintain
300,18,1,8250,298,maintain
330,18,1,8695,298,maintain
360,18,1,9140,298,maintain
390,18,1,9585,298,maintain
420,18,1,10030,298,maintain
450,18,1,10475,298,maintain
480,18,1,10920,298,maintain
510,18,1,11365,298,maintain
540,18,1,11810,298,maintain
570,18,1,12255,298,maintain
600,18,1,12700,298,maintain
0,19,2,4500,325,maintain
30,19,2,4975,325,maintain
60,19,2,5450,325,maintain
90,19,2,5925,325,maintain
120,19,2,6400,325,maintain
150,19,2,6875,325,maintain
180,19,2,7350,325,maintain
210,19,2,7825,325,maintain
240,19,2,8300,325,maintain
270,19,2,8775,325,maintain
300,19,2,9250,325,maintain
330,19,2,9725,325,maintain
360,19,2,10200,325,maintain
390,19,2,10675,325,maintain
420,19,2,11150,325,maintain
450,19,2,11625,325,maintain
480,19,2,12100,325,maintain
510,19,2,12575,325,maintain
540,19,2,13050,325,maintain
570,19,2,13525,325,maintain
600,19,2,14000,325,maintain
0,20,3,4000,335,maintain
30,20,3,4505,335,maintain
60,20,3,5010,335,maintain
90,20,3,5515,335,maintain
120,20,3,6020,335,maintain
150,20,3,6525,335,maintain
180,20,3,7030,335,maintain
210,20,3,7535,335,maintain
240,20,3,8040,335,maintain
270,20,3,8545,335,maintain
300,20,3,9050,335,maintain
330,20,3,9555,335,maintain
360,20,3,10060,335,maintain
390,20,3,10565,335,maintain
420,20,3,11070,335,maintain
450,20,3,11575,335,maintain
480,20,3,12080,335,maintain
510,20,3,12585,335,maintain
540,20,3,13090,335,maintain
570,20,3,13595,335,maintain
600,20,3,14100,335,maintain
0,21,0,4800,288,maintain
30,21,0,5232,288,maintain
60,21,0,5664,288,maintain
90,21,0,6096,288,maintain
120,21,0,6528,288,maintain
150,21,0,6960,288,maintain
180,21,0,7392,288,maintain
210,21,0,7824,288,maintain
240,21,0,8256,288,maintain
270,21,0,8688,288,maintain
300,21,0,9120,288,maintain
330,21,0,9552,288,maintain
360,21,0,9984,288,maintain
390,21,0,10416,288,maintain
420,21,0,10848,288,maintain
450,21,0,11280,288,maintain
480,21,0,11712,288,maintain
510,21,0,12144,288,maintain
540,21,0,12576,288,maintain
570,21,0,13008,288,maintain
600,21,0,13440,288,maintain
0,22,1,5100,312,maintain
30,22,1,5544,312,maintain
60,22,1,5988,312,maintain
90,22,1,6432,312,maintain
120,22,1,6876,312,maintain
150,22,1,7320,312,maintain
180,22,1,7764,312,maintain
210,22,1,8208,312,maintain
240,22,1,8652,312,maintain
270,22,1,9096,312,maintain
300,22,1,9540,312,maintain
330,22,1,9984,312,maintain
360,22,1,10428,312,maintain
390,22,1,10872,312,maintain
420,22,1,11316,312,maintain
450,22,1,11760,312,maintain
480,22,1,12204,312,maintain
510,22,1,12648,312,maintain
540,22,1,13092,312,maintain
570,22,1,13536,312,maintain
600,22,1,13980,312,maintain
0,23,2,5500,282,maintain
30,23,2,5905,282,maintain
60,23,2,6310,282,maintain
90,23,2,6715,282,maintain
120,23,2,7120,282,maintain
150,23,2,7525,282,maintain
180,23,2,7930,282,maintain
210,23,2,8335,282,maintain
240,23,2,8740,282,maintain
270,23,2,9145,282,maintain
300,23,2,9550,282,maintain
330,23,2,9955,282,maintain
360,23,2,10360,282,maintain
390,23,2,10765,282,maintain
420,23,2,11170,282,maintain
450,23,2,11575,282,maintain
480,23,2,11980,282,maintain
510,23,2,12385,282,maintain
540,23,2,12790,282,maintain
570,23,2,13195,282,maintain
600,23,2,13600,282,maintain
0,24,3,5800,348,maintain
30,24,3,6330,348,maintain
60,24,3,6860,348,maintain
90,24,3,7390,348,maintain
120,24,3,7920,348,maintain
150,24,3,8450,348,maintain
180,24,3,8980,348,maintain
210,24,3,9510,348,maintain
240,24,3,10040,348,maintain
270,24,3,10570,348,maintain
300,24,3,11100,348,maintain
330,24,3,11630,348,maintain
360,24,3,12160,348,maintain
390,24,3,12690,348,maintain
420,24,3,13220,348,maintain
450,24,3,13750,348,maintain
480,24,3,14280,348,maintain
510,24,3,14810,348,maintain
540,24,3,15340,348,maintain
570,24,3,15870,348,maintain
600,24,3,16400,348,maintain
